vehicle_id,speed_kmph,signal_strength_dBm,tx_power_dBm,battery_percent,distance_to_rsu_m,task_type,task_size_MI,deadline_ms,cpu_usage_percent,wlan_delay_ms,fiveg_delay_ms,wan_delay_ms,compute_energy_J,network_energy_J,total_energy_J,failure_probability,processing_delay_ms,offload_location,dps_speed,handover_flag,timestamp_s
V1,84.78,-62.45,19.46,22.0,311.28,SAFETY,184.38,10,60.89,1.8746,0.6537,52.6536,9.219,0.008141,9.227141,0.2545,56.7692,CLOUD,N/A,0,0.022
V1,88.44,-62.26,19.03,21.84,306.38,TRAFFIC,436.1,100,44.66,4.8289,0.5356,59.2746,21.805,0.01744,21.82244,0.2604,69.009,CLOUD,N/A,0,0.581
V1,89.85,-63.22,16.89,21.79,330.47,SAFETY,265.88,10,78.56,4.4468,0.7041,120.4572,26.588,0.001299,26.589299,0.3912,95.6612,RSU,LOW,0,1.008
V1,84.88,-62.35,18.18,21.94,308.79,SAFETY,174.04,10,66.29,2.0679,0.9557,114.8035,17.404,0.001145,17.405145,0.3685,63.1128,RSU,LOW,0,1.516
V1,86.34,-63.19,17.78,21.21,329.68,TRAFFIC,637.14,100,63.28,1.9162,0.3225,81.5453,31.857,0.019108,31.876108,0.2943,95.7672,CLOUD,N/A,0,2.088
V1,85.7,-62.64,19.57,21.34,315.95,SAFETY,152.98,10,67.4,3.2455,0.4839,108.4586,15.298,0.001386,15.299386,0.4598,55.1196,RSU,LOW,0,2.6
V1,87.65,-61.42,15.55,21.89,285.52,TRAFFIC,616.83,100,52.66,1.2541,0.5671,149.6121,30.8415,0.01107,30.85257,0.2861,163.3806,CLOUD,N/A,0,3.001
V1,89.76,-63.31,16.33,21.05,332.66,TRAFFIC,344.62,100,53.04,2.8149,0.9677,137.5853,34.462,0.00148,34.46348,0.5002,124.0463,RSU,LOW,0,3.591
V1,91.26,-63.92,18.04,21.52,347.95,SAFETY,252.5,10,76.18,4.1145,0.6712,50.0572,12.625,0.00804,12.63304,0.2929,55.6934,CLOUD,N/A,0,4.088
V1,90.87,-60.96,19.39,21.45,274.1,INFOTAINMENT,1171.31,1000,34.58,1.2769,0.8324,126.5834,58.5655,0.050891,58.616391,0.255,152.7287,CLOUD,N/A,0,4.527
V1,91.27,-61.72,17.7,21.15,293.05,TRAFFIC,380.46,100,49.35,4.9806,0.7549,93.81,19.023,0.011202,19.034202,0.2225,102.3024,CLOUD,N/A,0,5.034
V1,88.43,-61.7,15.35,21.49,292.62,TRAFFIC,391.58,100,67.16,4.4385,0.3496,73.8005,19.579,0.006711,19.585711,0.2132,82.5411,CLOUD,N/A,0,5.594
V1,88.26,-65.7,24.04,20.87,392.51,SAFETY,119.39,10,72.93,2.6943,0.6269,122.9076,11.939,0.003027,11.942027,0.6937,43.2662,RSU,LOW,0,6.04
V1,85.94,-61.79,15.95,19.76,294.77,SAFETY,184.38,10,68.36,1.9992,0.9463,94.3131,18.438,0.000726,18.438726,0.5201,66.7963,RSU,LOW,0,6.6
V1,90.91,-67.43,24.24,19.29,435.82,SAFETY,197.13,10,66.41,2.6042,0.341,87.8973,19.713,0.005233,19.718233,0.4061,70.7446,RSU,LOW,0,7.046
V1,86.78,-68.41,22.78,19.13,460.25,TRAFFIC,361.92,100,48.9,4.8748,0.7054,104.2195,18.096,0.034323,18.130323,0.2584,112.2981,CLOUD,N/A,0,7.55
V1,91.08,-68.47,20.4,21.5,461.87,SAFETY,219.01,10,80.26,1.9408,0.3839,139.0287,21.901,0.002401,21.903401,0.5378,78.6018,RSU,LOW,0,8.042
V1,88.39,-68.59,21.02,20.22,464.63,TRAFFIC,395.47,100,51.87,3.6868,0.51,81.6177,19.7735,0.025008,19.798508,0.2458,90.4452,CLOUD,N/A,0,8.6
V1,92.51,-61.15,16.33,21.74,278.83,INFOTAINMENT,2761.73,1000,46.38,2.4781,0.4104,133.3745,138.0865,0.059313,138.145813,0.2987,195.0203,CLOUD,N/A,0,9.065
V1,82.63,-62.06,18.32,18.9,301.6,INFOTAINMENT,1268.58,1000,23.46,1.4281,0.6873,77.2348,63.429,0.043081,63.472081,0.2204,105.5513,CLOUD,N/A,0,9.563
V1,85.19,-69.32,24.23,20.05,482.88,SAFETY,184.72,10,68.3,1.0142,0.8398,113.7113,18.472,0.004892,18.476892,0.5965,66.8112,RSU,LOW,0,10.043
V1,82.65,-69.38,24.52,21.68,484.46,SAFETY,266.92,10,77.48,1.5924,0.3892,80.8258,13.346,0.037788,13.383788,0.2861,86.7838,CLOUD,N/A,0,10.59
V1,84.65,-59.41,18.9,20.9,235.2,TRAFFIC,462.55,100,58.62,1.6182,0.9509,136.4606,23.1275,0.017953,23.145453,0.2881,146.7854,CLOUD,N/A,0,11.002
V1,89.92,-70.7,24.01,20.47,517.41,TRAFFIC,624.3,100,48.0,4.1495,0.3757,137.2167,31.215,0.078589,31.293589,0.2817,151.152,CLOUD,N/A,0,11.546
V1,85.6,-60.93,15.12,18.18,273.21,SAFETY,165.65,10,85.93,4.8676,0.4954,114.1482,16.565,0.000539,16.565539,0.6925,59.6561,RSU,LOW,0,12.094
V1,83.7,-60.13,19.81,17.15,253.24,SAFETY,121.68,10,73.04,3.9142,0.5196,110.6209,12.168,0.001165,12.169165,0.4541,43.9767,RSU,LOW,0,12.525
V1,89.64,-71.69,22.69,21.99,542.25,TRAFFIC,596.78,100,60.12,2.4569,0.349,116.4238,29.839,0.055435,29.894435,0.2848,129.7448,CLOUD,N/A,0,13.072
V1,85.55,-63.67,17.01,20.33,341.68,SAFETY,125.46,10,72.61,4.7615,0.7741,140.2806,12.546,0.00063,12.54663,0.4204,45.5812,RSU,LOW,0,13.5
V1,85.42,-66.59,23.27,19.59,414.87,SAFETY,188.43,10,66.41,2.8927,0.9308,129.6025,18.843,0.004001,18.847001,0.3339,68.2272,RSU,LOW,0,14.063
V1,85.9,-69.72,23.36,17.25,493.03,SAFETY,139.83,10,60.73,1.9794,0.6326,134.9738,13.983,0.003031,13.986031,0.4658,50.5719,RSU,LOW,0,14.519
V1,89.51,-60.84,18.28,19.03,271.07,SAFETY,250.19,10,83.1,1.4263,0.5976,67.5887,12.5095,0.008419,12.517919,0.205,73.1733,CLOUD,N/A,0,15.025
V1,91.03,-71.16,23.34,19.17,528.94,INFOTAINMENT,2190.9,1000,48.5,4.5657,0.7289,121.9274,109.545,0.23637,109.78137,0.2548,170.8314,CLOUD,N/A,0,15.59
V1,89.99,-61.03,16.24,18.96,275.69,TRAFFIC,606.33,100,55.64,3.507,0.4922,57.7483,30.3165,0.012755,30.329255,0.232,71.2825,CLOUD,N/A,0,16.054
V1,83.93,-69.59,23.53,20.47,489.79,SAFETY,181.52,10,76.28,2.6631,0.4448,92.0144,18.152,0.004092,18.156092,0.5336,65.2734,RSU,LOW,0,16.586
V1,90.21,-55.77,16.76,19.41,144.29,TRAFFIC,641.38,100,68.6,2.6761,0.8233,104.6132,32.069,0.015208,32.084208,0.2219,118.9297,CLOUD,N/A,0,17.044
V1,82.84,-69.71,22.02,19.65,492.83,SAFETY,193.48,10,63.83,3.489,0.3189,89.402,19.348,0.003081,19.351081,0.3108,69.4189,RSU,LOW,0,17.514
V1,87.17,-63.44,16.06,21.64,336.0,SAFETY,252.25,10,71.37,4.008,0.8823,75.2272,12.6125,0.005091,12.617591,0.2539,80.8578,CLOUD,N/A,0,18.1
V1,86.05,-72.39,23.26,17.19,559.86,TRAFFIC,679.84,100,45.98,1.0815,0.4067,62.6221,33.992,0.072007,34.064007,0.2218,77.7971,CLOUD,N/A,0,18.57
V1,90.22,-68.7,23.74,20.72,467.41,SAFETY,263.86,10,88.94,1.4324,0.318,81.1957,13.193,0.031214,13.224214,0.2397,87.0854,CLOUD,N/A,0,19.072
